description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",wine_taster,5,46,257,5.586956521739131,6,12,7,5,9,3,21,14,4,3,3,19,1,12.55123188405797,1,58.69565217391305
"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",wine_taster,6,31,203,6.548387096774194,8,10,8,4,5,2,27,12,6,2,3,8,6,17.162903225806453,0,61.29032258064516
"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",wine_taster,5,38,246,6.473684210526316,6,8,7,4,6,2,29,15,4,3,1,11,10,18.561052631578953,1,50.0
"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",wine_taster,7,46,292,6.3478260869565215,10,15,12,2,9,2,31,25,7,1,3,14,7,19.96826086956522,0,56.52173913043478
"Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.",wine_taster,4,34,188,5.529411764705882,4,13,9,2,7,2,20,18,8,0,2,11,1,13.11352941176471,0,64.70588235294117
"Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.",wine_taster,5,53,304,5.735849056603773,9,23,12,4,4,2,33,29,12,2,3,21,4,18.83584905660377,1,60.37735849056604
"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",wine_taster,6,43,261,6.069767441860465,9,15,9,3,7,3,29,3,8,1,3,12,6,14.325271317829454,1,60.46511627906976
"Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.",wine_taster,6,41,217,5.2926829268292686,5,11,8,7,6,3,24,7,7,2,2,18,4,10.331869918699187,3,65.85365853658537
"This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.",wine_taster,1,33,189,5.7272727272727275,5,10,6,3,6,2,20,18,4,1,4,15,2,13.795454545454547,0,57.57575757575758
"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",wine_taster,2,33,216,6.545454545454546,6,9,8,7,6,3,24,3,6,4,3,7,4,14.899090909090908,1,69.6969696969697
"Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking white has aromas of fragrant white wild flower, citrus and white stone fruit. The ripe round palate offers apricot, lime and a hint of saline.",wine_taster,4,38,231,6.078947368421052,7,12,7,3,7,2,31,14,7,2,5,10,7,16.70184210526316,0,57.89473684210527
"Tar, dried meat, olallieberry and sharp cedar aromas show on this blend of 51% Cabernet Sauvignon and 49% Merlot. Dried strawberries and plums mix with thyme and dried rose petals on the palate.",wine_taster,2,33,194,5.878787878787879,6,12,7,5,2,2,24,15,6,2,2,10,5,14.509090909090908,0,57.57575757575758
"Poached pears, yellow apples and a touch of butter show on the classic nose of this Chardonnay that holds to steely frame. Very sharp acidity kicks off the sip, where Pink Lady apples and warm vanilla surround a tight minerality. It's both sharp and slightly sweet.",wine_taster,3,47,265,5.638297872340425,5,13,9,4,9,3,24,8,7,2,4,17,5,12.959716312056734,3,61.702127659574465
"The distinctive nose on this bottling is tight yet tropical, with mango, pineapple, pear skins, orange rinds, dried lime peels and a gin-like juniper all converging. The palate offers a balance between tightly woven texture and ripe tropicality, with lime rinds, mango and petrol touches.",wine_taster,3,46,288,6.260869565217392,10,21,12,5,5,2,34,22,12,3,4,14,2,19.558695652173917,2,71.73913043478261
"Baked red cherry, crushed clove, iron and rose petals make for standard aromas on this bottling, although they are fairly light and simple here. There is a sizzle of acitity on the palate, where juicy strawberry and olallieberry flavors are easy to enjoy, made more complex by graphite and cedar touches.",wine_taster,5,51,304,5.96078431372549,7,14,8,8,9,2,30,28,8,4,4,20,2,19.39529411764706,5,70.58823529411765
"A blend of 50% Cabernet Sauvignon, 30% Merlot and 20% Sangiovese, this offers aromas of black currant, caramel and mocha. The dense palate delivers toast, leather and cedar alongside teeth-coating tannins that grip the finish.",wine_taster,4,36,226,6.277777777777778,10,16,8,3,2,2,27,19,8,1,1,10,5,17.13833333333333,0,58.333333333333336
"Medium-gold in color. Complex and inviting nose layered with a strong earthy minerality, vibrant bright fruit and intriguing notes of petrol and honey. On the palate it is racy, taut and focused full of well defined ripe succulent citrus and stone fruit. Rich, viscous texture perfectly balanced by the wine's crispness and almost steely minerality. Very long, juicy, lingering finish.",wine_taster,7,62,385,6.209677419354839,11,19,9,7,15,5,22,6,6,2,6,18,4,14.017580645161296,4,72.58064516129032
"Slightly backward, particularly given the vintage, the wine has a complex nose with plenty of dark fruit, Turkish delight, smoked meat and earth. A full rich palate, slightly soft, it begins to run out of steam a little in mid palate, but returns with a flourish, and the finish is long and nuanced. Will repay 5+ years of cellaring.",wine_taster,5,59,333,5.6440677966101696,11,14,10,11,10,3,35,8,5,5,6,23,3,14.986892655367235,3,64.40677966101694
"The vineyard is one of the better Chardonnay sources in Alexander Valley, and in this fine vintage it lends ripe pineapple, pear, Key lime pie and Mandarin orange flavors to the wine. Lots of toasty new oak adds buttered toast and vanilla, but the wood influence is in balance. Classic Burgundian-style California Chardonnay, rich and opulent.",wine_taster,5,57,343,6.017543859649122,9,18,12,4,12,3,36,11,10,2,5,19,9,16.412631578947362,0,59.64912280701754
"Defines Rockpile Zinfandel in intensity of fruit and high alcohol which is in keeping with the volume. There are few red wines in the world like this. It's fully dry, with potent flavors of baked blackberries, blackcurrants, cola and peppery spices, and the tannins are huge, but negotiable. Demands the richest grilled meats and cheeses.",wine_taster,4,56,338,6.035714285714286,9,15,10,7,10,4,28,8,7,2,5,22,5,13.99821428571429,2,60.71428571428571
"The blend is roughly two-thirds Shiraz and one-third Cabernet, and the result combines berries with cassis and generosity with structure, all framed by toasty oak. Savory in character, long and dusty on the finish. Drink now-2018.",wine_taster,3,39,230,5.897435897435898,8,14,7,4,2,3,32,3,10,3,0,14,5,12.846923076923083,1,53.84615384615385
"This sophisticated wine is mostly Cabernet Sauvignon, which accounts for the firm tannins and dense structure as well as most of the blackberries and blackcurrants. Smaller amounts of Merlot and Cabernet Franc add cherries and violets, while oak contributes smoky complexities. Rich and elegant, the wine provides lovely drinking now.",wine_taster,3,50,334,6.68,6,11,9,6,10,3,27,11,5,2,5,18,8,18.36613333333333,4,62.0
"Etienne Le Riche is a total Cabernet specialist. With a tiny production of 5,000 cases across all his wines, this is boutique in the best sense. The Reserve Cabernets are, of course, the stars. This 2003 is fruit and wood driven, a powerful but still elegant wine, with black plums, tannins and super-ripe fruits.",wine_taster,4,56,313,5.589285714285714,11,14,11,5,10,4,26,9,6,2,5,21,9,11.895535714285714,1,53.57142857142857
"Mid-gold color. Pronounced and enticing aromas of ripe citrus and stone fruit, layered with honey and floral notes with a touch of sweet spice. Rich and creamy texture packed with sweet ripe juicy fruit, honey, spice and a twist of sage. Off-dry, deliciously smooth with fresh acidity and medium-body. An elegant wine with a long, creamy, spicy finish.",wine_taster,12,61,352,5.770491803278689,14,20,13,3,17,5,24,5,8,2,4,18,2,11.849016393442625,2,68.85245901639344
"Attractive mid-gold color with intense aromas of ripe citrus and stone fruit, strong minerality and hints of spice. Racy with crisp acidity, juicy, rich and smooth texture with lots of concentrated, bright flavors of blood orange, peach, apricot, mango and spice. Strong minerality follows through to a long, precise, juicy finish.",wine_taster,6,52,331,6.365384615384615,13,22,10,1,15,3,30,13,11,0,6,14,2,17.2176282051282,0,73.07692307692307
"Compelling minerality on the nose, Refined and focused floral aromas with ample ripe stone fruit and a hint of petrol. Racy acidity and lovely taut palate with generous layers of juicy ripe peach, apricot and nectarine.  Strong minerality prevails across the palate leading to a lingering finish. Very balanced.",wine_taster,8,49,311,6.346938775510204,6,17,10,4,11,4,22,3,7,1,4,15,5,14.589081632653063,1,67.3469387755102
"A big, black bruiser of a wine that has black olive flavors and aromas and plenty beyond. Raspberry, mulberry, vanilla and spice all vie on the nose, while the palate is so dark it´s tough to discern the plum and leather flavors. Give it three years and reap the benefits.",wine_taster,8,51,272,5.333333333333333,7,18,9,5,6,4,22,7,6,2,2,21,2,10.064999999999998,1,58.82352941176471
"At the first it was quite muted and subdued, but over a ten minute period it developed beautifully in the glass. The dark fruit is still dominant, but it is beginning to show some interesting tertiary aromas of earth, mushrooms and leather. Well balanced with a medium finish. Needs a few more years, but can be enjoyed now with a good deal of pleasure.",wine_taster,3,64,353,5.515625,8,12,7,12,10,4,24,7,5,4,4,32,3,12.548593750000002,4,59.375
"Attractive mid-gold color. Compelling layers of tangy citrus and stone fruit aromas with notes of honey and earthy minerality. Intense flavors of honey, tangy orange citrus, sweet peach and apricot that are both rich and juicy.  Crisp acidity provides a perfect balance for the slight sweetness on the finish. Taut and focused.",wine_taster,7,53,327,6.169811320754717,8,19,11,4,14,5,21,4,5,1,7,17,3,12.929811320754716,0,69.81132075471697
"A Cabernet-dominated (98%) wine, which boasts a dense, concentrated tannic structure. Flavors of cassis underly this, while the wood spices contribute their ribbon of flavor. This is an impressive wine, the flagship red from this estate founded by Spatz Sperling over 30 years ago.",wine_taster,4,45,281,6.2444444444444445,11,15,8,5,6,3,21,16,5,2,1,16,4,15.481333333333332,1,60.0
"Einaudi's wines have been improving lately, and this Barolo was very impressive, given the trying conditions of the vintage. Big rich, fat with smoked meat and a good dose of oak, the wine was one of the few that didn't peter out early but stayed on the palate to the end, culminating in an nice easy finish.",wine_taster,4,59,308,5.220338983050848,7,10,9,12,9,2,43,23,7,6,8,27,2,17.90779661016949,4,59.32203389830508
"Give this young Cab time in the cellar to come around. Right now, it's fresh and tannic, with primary fruit blackberry and cherry flavors, and the sweet smoky oak hasn't been integrated. Should knit together over the next 4-6 years, at least.",wine_taster,5,45,242,5.377777777777778,8,8,5,8,8,3,27,12,5,4,5,14,4,11.399333333333338,5,64.44444444444444
"The color is just beginning to show signs of browning at the edge, but the wine is still fresh and vibrant. The nose is complex, showing licorice, summer fruits, caramel and roses. On the palate, it is soft and pleasant, but lacks some concentration.  At its peak, but will drink well for a few years.",wine_taster,3,55,301,5.472727272727273,11,14,9,11,7,4,23,13,4,5,2,28,3,11.221545454545456,3,63.63636363636363
"This wine's black cherry and plum flavors veer dangerously toward prune—no doubt a product of the exceedingly hot summer. It's creamy and supple in texture, adding just enough tobacco, vanilla and smoke for complexity. But for all the fruit and ripeness, it finishes with great elegance and precision. Drink now–2020. Imported by Acadia Imports.",wine_taster,7,58,345,5.948275862068965,9,17,6,7,6,5,23,3,8,1,2,19,3,12.386379310344829,4,58.620689655172406
"This is great Chenin Blanc, wood fermented but still leaving all the varietal character. Rich, creamy, almond flavors and silky smooth, which keeps all the essential acidity of the grape, with added spice and vanilla.",wine_taster,3,35,217,6.2,7,8,6,5,10,2,26,16,6,2,7,13,4,16.522,1,68.57142857142857
"Mid-gold color. Very mineral driven with subtle aromas of bruised apple and stone fruit compote. Crisp, fairly taut palate showing strong minerality and ripe flavors of red apple, cantaloupe, sweet nectarine and spice. Taut and precise texture with a long, slightly austere finish.",wine_taster,7,44,281,6.386363636363637,9,19,11,3,8,4,22,5,8,1,4,10,3,14.149772727272726,3,75.0
"Beautiful deep gold color. Intense, concentrated nose with vibrant aromas of honey, citrus marmalade and savory botrytis notes. Deliciously sweet and succulent, yet balanced by good acidity.  Packed with flavors of sweet ultra-ripe stone and tropical fruit, with honey and botrytis notes following through. Strong minerality prevails to a long, complex finish.",wine_taster,10,53,360,6.7924528301886795,11,17,9,5,15,5,21,5,6,2,4,12,4,15.86245283018868,1,71.69811320754717
